ST,chamber,party,gender,birthdate,last.name,first.name,state
OH,Senate,Democrat,M,1952-11-09,Brown,Sherrod,Ohio
OH,House,Republican,M,1970-03-01,Davidson,Warren,Ohio
OH,House,Republican,M,1954-11-10,Johnson,Bill,Ohio
OH,House,Republican,M,1957-03-17,Joyce,David,Ohio
OH,House,Democrat,M,1973-07-16,Ryan,Tim,Ohio
OH,House,Republican,M,1958-06-17,Wenstrup,Brad,Ohio
OH,House,Democrat,F,1950-03-12,Beatty,Joyce,Ohio
OH,House,Democrat,F,1952-10-29,Fudge,Marcia,Ohio
OH,Senate,Republican,M,1955-12-19,Portman,Robert,Ohio
OH,House,Republican,M,1956-04-18,Latta,Robert,Ohio
OH,House,Republican,M,1965-03-24,Stivers,Steve,Ohio
OH,House,Republican,M,1954-06-14,Gibbs,Bob,Ohio
OH,House,Republican,M,1960-01-11,Turner,Michael,Ohio
OH,House,Republican,M,1964-02-17,Jordan,Jim,Ohio
OH,House,Republican,M,1953-01-22,Chabot,Steve,Ohio
OH,House,Republican,M,1958-12-03,Renacci,James,Ohio
OH,House,Democrat,F,1946-06-17,Kaptur,Marcy,Ohio
WA,House,Republican,F,1978-11-03,Herrera Beutler,Jaime,Washington
WA,House,Democrat,M,1965-06-15,Smith,Adam,Washington
WA,House,Republican,F,1969-05-22,McMorris Rodgers,Cathy,Washington
WA,Senate,Democrat,F,1958-10-13,Cantwell,Maria,Washington
WA,Senate,Democrat,F,1950-10-11,Murray,Patty,Washington
WA,House,Democrat,F,1965-09-21,Jayapal,Pramila,Washington
WA,House,Republican,M,1950-08-29,Reichert,David,Washington
WA,House,Democrat,M,1952-07-29,Heck,Denny,Washington
WA,House,Democrat,F,1962-02-17,DelBene,Suzan,Washington
WA,House,Democrat,M,1965-06-15,Larsen,Rick,Washington
WA,House,Democrat,M,1974-01-01,Kilmer,Derek,Washington
WA,House,Republican,M,1955-07-10,Newhouse,Dan,Washington
MD,House,Democrat,M,1963-04-16,Delaney,John,Maryland
MD,House,Democrat,M,1939-06-14,Hoyer,Steny,Maryland
MD,House,Democrat,M,1962-12-13,Raskin,Jamie,Maryland
MD,House,Democrat,M,1961-11-21,Brown,Anthony,Maryland
MD,House,Republican,M,1957-01-25,Harris,Andy,Maryland
MD,House,Democrat,M,1962-05-22,Sarbanes,John,Maryland
MD,House,Democrat,M,1946-01-31,Ruppersberger,C.,Maryland
MD,Senate,Democrat,M,1943-10-05,Cardin,Benjamin,Maryland
MD,House,Democrat,M,1951-01-18,Cummings,Elijah,Maryland
MD,Senate,Democrat,M,1959-01-10,Van Hollen,Chris,Maryland
DE,Senate,Democrat,M,1947-01-23,Carper,Thomas,Delaware
DE,Senate,Democrat,M,1963-09-09,Coons,Chris,Delaware
DE,House,Democrat,F,1962-02-10,Blunt Rochester,Lisa,Delaware
PA,House,Republican,M,1956-01-28,Barletta,Lou,Pennsylvania
PA,House,Democrat,M,1954-05-16,Evans,Dwight,Pennsylvania
PA,House,Democrat,M,1984-06-27,Lamb,Conor,Pennsylvania
PA,House,Democrat,M,1945-04-07,Brady,Robert,Pennsylvania
PA,House,Republican,M,1962-04-25,Rothfus,Keith,Pennsylvania
PA,House,Republican,M,1962-05-27,Perry,Scott,Pennsylvania
PA,Senate,Republican,M,1961-11-17,Toomey,Patrick,Pennsylvania
PA,Senate,Democrat,M,1960-04-13,Casey,Robert,Pennsylvania
PA,House,Republican,M,1961-01-10,Shuster,Bill,Pennsylvania
PA,House,Republican,M,1964-01-23,Smucker,Lloyd,Pennsylvania
PA,House,Republican,M,1976-09-07,Costello,Ryan,Pennsylvania
PA,House,Republican,M,1952-08-15,Marino,Tom,Pennsylvania
PA,House,Democrat,M,1961-05-01,Cartwright,Matthew,Pennsylvania
PA,House,Democrat,M,1977-02-06,Boyle,Brendan,Pennsylvania
PA,House,Republican,M,1973-12-17,Fitzpatrick,Brian,Pennsylvania
PA,House,Republican,M,1959-07-27,Thompson,Glenn,Pennsylvania
PA,House,Republican,M,1948-05-10,Kelly,Mike,Pennsylvania
PA,House,Democrat,M,1953-08-05,Doyle,Michael,Pennsylvania
TN,House,Republican,M,1962-10-11,Fleischmann,Charles,Tennessee
TN,House,Republican,M,1966-10-08,Kustoff,David,Tennessee
