ST,omb.region,bea.region
AL,4,South East
AK,10,Far West
AZ,9,South West
AR,6,South East
CA,9,Far West
CO,8,Rocky Mtns
CT,1,New England
DE,3,Mid East
FL,4,South East
GA,4,South East
HI,9,Far West
ID,10,Rocky Mtns
IL,5,Great Lakes
IN,5,Great Lakes
IA,7,Plains
KS,7,Plains
KY,4,South East
LA,6,South East
ME,1,New England
MD,3,Mid East
MA,1,New England
MI,5,Great Lakes
MN,5,Plains
MS,4,South East
MO,7,Plains
MT,8,Rocky Mtns
NE,7,Plains
NV,9,Far West
NH,1,New England
NJ,2,Mid East
NM,6,South West
NY,2,Mid East
NC,4,South East
ND,8,Plains
OH,5,Great Lakes
OK,6,South West
OR,10,Far West
PA,3,Mid East
RI,1,New England
SC,4,South East
SD,8,Plains
TN,4,South East
TX,6,South West
UT,8,Rocky Mtns
VT,1,New England
VA,3,South East
WA,10,Far West
WV,3,South East
WI,5,Great Lakes
WY,8,Rocky Mtns
US,NA,NA
DC,3,Mid East
